,states to learn
0,Wyoming
1,Oregon
2,Arkansas
3,Pennsylvania
4,Oklahoma
5,Hawaii
6,New Mexico
7,New Hampshire
8,South Dakota
9,North Dakota
10,Illinois
11,North Carolina
12,Maine
13,Idaho
14,Virginia
15,Kansas
16,Delaware
17,Missouri
18,Rhode Island
19,Georgia
20,California
21,Kentucky
22,South Carolina
23,Tennessee
24,Arizona
25,West Virginia
26,Montana
27,New Jersey
28,Indiana
29,Wisconsin
30,Michigan
31,Mississippi
32,Vermont
33,Alaska
34,Utah
35,Maryland
36,Iowa
37,Florida
38,Nebraska
39,Connecticut
40,Louisiana
41,Colorado
42,Massachusetts
43,Minnesota
